0,600,0,800
690,770,0,800
771,790,0,20
771,790,20,40
771,790,40,60
140,170,220,430
791,821,0,210
821,841,0,200
600,700,0,100
120,140,120,140
120,140,140,160
120,140,160,180
120,140,180,200
120,140,200,220
120,140,220,240
120,140,240,260
120,140,260,280
120,140,280,300
120,140,300,320
190,290,600,900
120,140,0,60
120,140,60,120
140,170,0,220
120,140,320,340
190,290,300,600
190,290,0,300
0,100,0,400
0,100,400,800
0,100,800,1200
0,100,1200,1600
100,200,0,800	
200,300,0,800
200,300,800,1600
300,400,0,800
600,700,0,800
600,700,800,1600
700,800,0,800
700,800,800,1600
800,900,0,800
800,900,800,1600
300,400,800,1600
400,500,0,800
400,500,800,1600
500,600,0,800
500,600,800,1600
0,74,0,74
0,74,75,149
0,74,150,224
0,74,225,299
75,149,0,74
150,224,0,74
0,124,0,124
0,124,125,249
0,124,250,374
0,124,375,499
125,249,0,124
125,249,125,249
125,249,250,374
250,374,0,124
250,374,125,249
250,374,250,374
250,374,375,499
375,499,0,124
0,199,0,199
0,199,200,399
0,199,400,599
0,199,600,799
200,399,0,199
200,399,200,399
200,399,400,599
400,599,0,199
400,599,200,399
0,49,0,99
0,49,100,199
0,49,200,299
0,49,300,399
0,49,400,499
0,49,500,599
0,399,0,299
0,399,300,599
0,399,599,899
400,799,0,299
400,799,300,599
650,749,0,99
390,440,0,50
390,440,50,100
390,440,100,150
390,440,150,200
390,440,200,250
390,440,250,300
390,440,300,350
390,440,350,400
390,440,400,450
390,440,450,500
390,440,550,650
841,940,0,300
1100,1200,0,800
900,1000,0,800
900,1000,800,1600
1000,1100,0,800
1000,1100,800,1600
50,650,0,1000
841,940,300,600
