0,600,0,800
290,339,0,49
290,339,50,99
290,339,100,149
290,339,150,199
290,339,200,249
290,339,250,299
290,339,300,349
290,339,350,399
290,339,400,449
290,339,450,499
290,339,500,549
290,339,550,599
290,339,600,649
290,339,650,699
290,339,700,749
290,339,750,799
290,339,800,849
290,339,850,899
290,339,900,949
290,339,950,999
340,389,0,49
340,389,50,99
340,389,100,149
340,389,150,199
340,389,200,249
340,389,250,299
390,439,0,49
390,439,50,99
390,439,100,149
390,439,150,199
390,439,200,249
390,439,250,299
390,439,300,349
390,439,350,399
390,439,400,449
390,439,450,499
390,439,500,549
440,489,0,299
